#name,value,fit,bounds,label,unit
#limb darkening coefficients per instrument,,,,,
ldc_q1_Leonardo,0.5,1,uniform 0 1,$q_{1;\mathrm{Leonardo}}$,
ldc_q2_Leonardo,0.5,1,uniform 0 1,$q_{2;\mathrm{Leonardo}}$,
#planet b astrophysical params,,,,,
b_rsuma,0.178,1,trunc_normal 0 1 0.178 0.066,$(R_\star + R_b) / a_b$,
b_rr,0.1011,1,trunc_normal 0 1 0.1011 0.0018,$R_b / R_\star$,
b_cosi,0.099,1,trunc_normal 0 1 0.099 0.105,$\cos{i_b}$,
b_epoch,1.09,1,trunc_normal 0 1e12 1.09 0.01,$T_{0;b}$,$\mathrm{BJD}$
b_period,3.41,1,trunc_normal 0 1e12 3.41 0.01,$P_b$,$\mathrm{d}$
#errors (overall scaling) per instrument,,,,,
log_err_flux_Leonardo,-6,1,trunc_normal -23 0 -6 1,$\log{\sigma_\mathrm{Leonardo}}$,
